50,3.928277,3.967532,4.252596,9.106596,
100,3.576878,3.744024,4.076441,8.629779,
150,3.470780,3.623506,3.930246,8.501801,
200,3.560239,3.539720,4.204639,8.640200,
250,3.379399,3.546288,4.347201,8.451040,
300,3.329132,3.567438,16.586907,8.467158,
350,3.432826,3.566378,18.690071,8.406240,
400,9.025876,3.517341,19.970559,8.866205,
450,10.444352,3.544820,22.426321,8.385737,
500,12.023762,3.516445,24.300504,8.498204,
550,12.490429,3.537036,25.031960,8.383277,
600,12.636214,3.490773,25.291305,8.590380,
650,12.776716,3.525551,25.561865,8.386553,
700,12.939977,3.504068,25.922697,8.451164,
750,13.117862,3.543815,26.407334,8.387778,
800,11.649289,3.895307,24.438733,9.429121,
850,14.910678,6.141935,28.033233,8.387184,
900,15.845708,8.660893,28.885439,8.460078,
950,17.526394,10.291895,29.902812,8.392008,
1000,16.417207,10.850846,30.071131,8.601538,

