50,3.893489,3.966830,4.140064,8.453617,
100,3.559340,3.727309,4.035215,7.917926,
150,3.496288,3.614348,3.935390,7.759128,
200,3.534047,3.536043,4.211566,7.899421,
250,3.371084,3.537949,4.343348,7.626038,
300,3.322003,3.551288,16.531120,7.711322,
350,3.430846,3.552974,18.662037,7.641612,
400,9.001318,3.502868,19.982202,8.204429,
450,10.422671,3.536633,22.413837,7.651728,
500,12.002848,3.511392,24.288877,7.728244,
550,12.469999,3.527363,25.021533,7.653710,
600,12.610958,3.486604,25.279383,7.897532,
650,12.752717,3.517698,25.539119,7.663807,
700,12.933267,3.517852,25.746759,7.739854,
750,13.625329,3.653290,26.161623,7.667071,
800,12.448108,4.294778,24.407422,8.873340,
850,15.925106,5.451934,28.321330,7.674068,
900,16.208092,7.190204,28.873318,7.752664,
950,18.092890,8.900044,29.815475,7.682478,
1000,16.633724,10.532067,30.216065,7.911468,

