50,5.159872,3.997851,4.154362,7.559872,
100,4.698128,3.753335,4.019537,7.126021,
150,4.298924,3.620267,3.923057,6.975208,
200,3.532406,3.538090,4.207186,7.065763,
250,3.371317,3.544191,4.343090,6.849931,
300,3.321059,3.558167,16.564708,6.948134,
350,3.428501,3.562066,18.710259,6.896561,
400,9.025082,3.512070,19.966950,7.380953,
450,10.432067,3.547318,22.416764,6.923890,
500,12.017785,3.519773,24.287774,7.007377,
550,12.475220,3.534697,25.008866,6.953512,
600,12.627169,3.492272,25.238670,7.163349,
650,12.991348,3.531093,25.567671,7.010759,
700,13.208098,3.530093,25.764634,7.111743,
750,13.644486,3.883229,26.283984,6.991449,
800,12.524155,4.580486,24.467279,7.986572,
850,16.203798,5.466263,28.188052,6.996862,
900,16.323693,7.025661,28.961278,7.071309,
950,18.145646,8.669270,29.917573,7.040482,
1000,16.701761,10.106689,30.355050,7.397524,

