
103,	47531.110000,	71006.980000,	1.493905,	4.480263,	6.693089,	
106,	26554.880000,	29069.700000,	1.094703,	2.363375,	2.587193,	
109,	28019.750000,	32009.560000,	1.142393,	2.358366,	2.694181,	
112,	29034.280000,	33408.650000,	1.150662,	2.314595,	2.663317,	
115,	30595.290000,	33656.590000,	1.100058,	2.313443,	2.544922,	
118,	32343.520000,	35579.390000,	1.100047,	2.322861,	2.555256,	
121,	33613.580000,	36305.500000,	1.080084,	2.295853,	2.479715,	
124,	35174.590000,	38352.270000,	1.090340,	2.287629,	2.494294,	
127,	36573.680000,	39817.140000,	1.088683,	2.267573,	2.468668,	
130,	39073.320000,	41957.520000,	1.073815,	2.312031,	2.482693,	
133,	40077.730000,	43164.330000,	1.077015,	2.265687,	2.440179,	
136,	41833.550000,	47407.140000,	1.133233,	2.261762,	2.563102,	
139,	43429.980000,	47278.110000,	1.088605,	2.247812,	2.446980,	
142,	45347.720000,	48904.900000,	1.078442,	2.248945,	2.425357,	
145,	47181.970000,	50519.040000,	1.070728,	2.244089,	2.402808,	
148,	49324.880000,	54159.710000,	1.098020,	2.251866,	2.472595,	
151,	51389.360000,	55126.170000,	1.072716,	2.253820,	2.417708,	
154,	53327.340000,	79328.150000,	1.487570,	2.248581,	3.344921,	
157,	54966.780000,	61529.600000,	1.119396,	2.229980,	2.496231,	
160,	57183.060000,	99413.820000,	1.738519,	2.233713,	3.883352,	
163,	58992.010000,	65187.980000,	1.105031,	2.220332,	2.453535,	
166,	61167.810000,	68487.100000,	1.119659,	2.219764,	2.485379,	
169,	63110.850000,	72977.850000,	1.156344,	2.209686,	2.555157,	
172,	65544.710000,	73676.130000,	1.124059,	2.215546,	2.490405,	
175,	67933.030000,	78376.870000,	1.153737,	2.218221,	2.559245,	
178,	70465.560000,	80638.690000,	1.144370,	2.224011,	2.545092,	
181,	73370.000000,	85961.810000,	1.171621,	2.239553,	2.623907,	
184,	75201.720000,	87581.010000,	1.164614,	2.221223,	2.586868,	
187,	77218.130000,	90353.890000,	1.170112,	2.208188,	2.583828,	
190,	80360.390000,	92901.600000,	1.156062,	2.226050,	2.573452,	
193,	82088.380000,	94199.490000,	1.147537,	2.203774,	2.528913,	
196,	85311.600000,	97189.950000,	1.139235,	2.220731,	2.529934,	
199,	87403.910000,	103633.860000,	1.185689,	2.207114,	2.616951,	
202,	102895.100000,	105609.790000,	1.026383,	2.521692,	2.588221,	
205,	91818.760000,	116524.210000,	1.269068,	2.184860,	2.772736,	
208,	94262.740000,	113159.310000,	1.200467,	2.178780,	2.615554,	
211,	97202.600000,	116362.290000,	1.197111,	2.183298,	2.613650,	
214,	100127.280000,	119453.950000,	1.193021,	2.186376,	2.608393,	
217,	102252.480000,	121197.120000,	1.185273,	2.171473,	2.573788,	
220,	105005.120000,	126917.450000,	1.208679,	2.169527,	2.622261,	
223,	108524.350000,	129627.080000,	1.194452,	2.182315,	2.606670,	
226,	110975.920000,	133525.810000,	1.203196,	2.172761,	2.614257,	
229,	114029.630000,	147036.010000,	1.289454,	2.174437,	2.803837,	
232,	117116.230000,	141854.570000,	1.211229,	2.175911,	2.635526,	
235,	120172.470000,	144718.530000,	1.204257,	2.176052,	2.620526,	
238,	123866.270000,	150517.290000,	1.215160,	2.186750,	2.657250,	
241,	126277.360000,	183128.990000,	1.450212,	2.174160,	3.152993,	
244,	129179.270000,	155554.520000,	1.204176,	2.169767,	2.612781,	
247,	131686.500000,	164098.330000,	1.246129,	2.158477,	2.689740,	
250,	135155.130000,	166759.890000,	1.233841,	2.162482,	2.668158,	
253,	138808.450000,	172611.780000,	1.243525,	2.168577,	2.696680,	
256,	140804.620000,	363528.110000,	2.581791,	2.148508,	5.546999,	
259,	144576.850000,	180148.650000,	1.246041,	2.155258,	2.685539,	
262,	148187.160000,	184396.520000,	1.244349,	2.158778,	2.686273,	
265,	160604.400000,	189410.980000,	1.179364,	2.286998,	2.697202,	
268,	155015.630000,	186046.080000,	1.200176,	2.158271,	2.590305,	
271,	157520.330000,	216170.790000,	1.372336,	2.144855,	2.943462,	
274,	161133.170000,	200282.390000,	1.242962,	2.146267,	2.667729,	
277,	164905.400000,	208244.300000,	1.262811,	2.149193,	2.714023,	
280,	167999.590000,	206091.270000,	1.226737,	2.142852,	2.628715,	
283,	171961.570000,	217688.790000,	1.265915,	2.147131,	2.718086,	
286,	175098.770000,	219616.650000,	1.254244,	2.140676,	2.684931,	
289,	179526.270000,	227158.580000,	1.265322,	2.149475,	2.719778,	
292,	182261.200000,	223748.140000,	1.227624,	2.137610,	2.624181,	
295,	186364.860000,	235995.870000,	1.266311,	2.141509,	2.711817,	
298,	189934.690000,	238444.910000,	1.255405,	2.138808,	2.685069,	
301,	193456.450000,	246181.650000,	1.272543,	2.135257,	2.717207,	
304,	198395.010000,	454499.320000,	2.290881,	2.146760,	4.917972,	
307,	217056.290000,	255962.630000,	1.179245,	2.303009,	2.715813,	
310,	206220.300000,	258948.030000,	1.255686,	2.145893,	2.694568,	
313,	209274.010000,	274186.220000,	1.310178,	2.136125,	2.798704,	
316,	212540.240000,	264506.440000,	1.244501,	2.128467,	2.648879,	
319,	216821.000000,	281525.750000,	1.298425,	2.130689,	2.766539,	
322,	221058.750000,	279433.440000,	1.264069,	2.132043,	2.695049,	
325,	224514.730000,	288404.820000,	1.284570,	2.125583,	2.730460,	
328,	229111.740000,	282891.950000,	1.234734,	2.129608,	2.629498,	
331,	232734.700000,	323506.040000,	1.390021,	2.124248,	2.952748,	
334,	237658.080000,	307814.980000,	1.295201,	2.130393,	2.759287,	
337,	241060.930000,	311083.740000,	1.290478,	2.122594,	2.739161,	
340,	268443.120000,	301267.340000,	1.122276,	2.322172,	2.606119,	
343,	251525.010000,	324426.960000,	1.289840,	2.137927,	2.757584,	
346,	253326.370000,	326013.270000,	1.286930,	2.116061,	2.723222,	
349,	258287.700000,	331141.580000,	1.282065,	2.120571,	2.718710,	
352,	262515.330000,	626946.650000,	2.388229,	2.118699,	5.059939,	
355,	266806.210000,	424179.800000,	1.589842,	2.117090,	3.365839,	
358,	271610.680000,	345365.240000,	1.271545,	2.119243,	2.694713,	
361,	275137.500000,	356540.250000,	1.295862,	2.111229,	2.735862,	
364,	279752.220000,	357529.480000,	1.278022,	2.111401,	2.698417,	
367,	297947.980000,	366430.020000,	1.229846,	2.212118,	2.720564,	
370,	288789.380000,	369670.950000,	1.280071,	2.109491,	2.700299,	
373,	293644.450000,	381339.310000,	1.298643,	2.110591,	2.740905,	
376,	298438.800000,	385701.030000,	1.292396,	2.110958,	2.728193,	
379,	303382.420000,	424893.260000,	1.400520,	2.112088,	2.958022,	
382,	308672.650000,	407899.250000,	1.321462,	2.115297,	2.795286,	
385,	312624.510000,	402877.200000,	1.288694,	2.109121,	2.718011,	
388,	318079.190000,	393748.960000,	1.237896,	2.112865,	2.615507,	
391,	347622.000000,	422828.780000,	1.216346,	2.273808,	2.765738,	
394,	329833.570000,	439673.520000,	1.333016,	2.124723,	2.832291,	
397,	331799.380000,	430540.220000,	1.297592,	2.105206,	2.731698,	
400,	336593.730000,	786898.310000,	2.337828,	2.103711,	4.918114,	
403,	341987.690000,	451205.260000,	1.319361,	2.105719,	2.778204,	
406,	347389.240000,	441563.430000,	1.271091,	2.107484,	2.678805,	
409,	351356.280000,	478959.360000,	1.363173,	2.100396,	2.863202,	
412,	369620.350000,	445097.840000,	1.204203,	2.177516,	2.622171,	
415,	362027.820000,	491295.640000,	1.357066,	2.102063,	2.852638,	
418,	368066.930000,	485954.810000,	1.320289,	2.106562,	2.781271,	
421,	373025.730000,	556701.200000,	1.492394,	2.104624,	3.140928,	
424,	378401.980000,	469024.050000,	1.239486,	2.104853,	2.608936,	
427,	383909.790000,	532263.930000,	1.386430,	2.105588,	2.919250,	
430,	389574.460000,	514116.240000,	1.319687,	2.106947,	2.780510,	
433,	406692.440000,	519831.510000,	1.278193,	2.169154,	2.772597,	
436,	402431.920000,	508707.100000,	1.264082,	2.116993,	2.676054,	
439,	406388.840000,	634245.700000,	1.560687,	2.108690,	3.291005,	
442,	411175.600000,	551838.540000,	1.342099,	2.104664,	2.824669,	
445,	417280.490000,	563906.640000,	1.351385,	2.107211,	2.847654,	
448,	423706.690000,	1050129.630000,	2.478435,	2.111102,	5.232231,	
451,	440485.650000,	679937.500000,	1.543609,	2.165602,	3.342842,	
454,	438433.820000,	588897.980000,	1.343186,	2.127122,	2.857119,	
457,	441806.310000,	593990.870000,	1.344460,	2.115434,	2.844116,	
460,	447688.560000,	560233.080000,	1.251390,	2.115730,	2.647604,	
463,	451756.800000,	627629.750000,	1.389309,	2.107379,	2.927801,	
466,	468636.960000,	755754.010000,	1.612664,	2.158066,	3.480235,	
469,	464953.280000,	870297.230000,	1.871795,	2.113799,	3.956598,	
472,	471237.800000,	604659.880000,	1.283131,	2.115223,	2.714108,	
475,	476530.560000,	722944.970000,	1.517101,	2.112047,	3.204188,	
478,	484626.560000,	748983.730000,	1.545486,	2.121053,	3.278058,	
481,	491303.230000,	1052487.590000,	2.142236,	2.123535,	4.549114,	
484,	511887.310000,	656851.250000,	1.283195,	2.185162,	2.803989,	
487,	508547.710000,	709467.660000,	1.395086,	2.144242,	2.991401,	
490,	512069.470000,	747033.100000,	1.458851,	2.132734,	3.111342,	
493,	520744.840000,	755050.670000,	1.449944,	2.142551,	3.106578,	
496,	528883.850000,	1222250.590000,	2.311000,	2.149795,	4.968175,	
499,	547911.980000,	831350.410000,	1.517307,	2.200441,	3.338743,	
502,	540860.870000,	795811.500000,	1.471379,	2.146239,	3.157932,	
505,	547509.710000,	798900.630000,	1.459153,	2.146886,	3.132637,	
508,	552774.640000,	734421.050000,	1.328608,	2.142006,	2.845887,	
511,	584827.210000,	865313.130000,	1.479605,	2.239679,	3.313840,	
514,	581113.170000,	884014.890000,	1.521244,	2.199553,	3.346057,	
517,	577922.840000,	1134469.710000,	1.963012,	2.162165,	4.244356,	
520,	583296.560000,	1401703.490000,	2.403072,	2.157162,	5.183815,	
523,	631867.500000,	1977407.520000,	3.129465,	2.310057,	7.229243,	
526,	701606.950000,	2259153.380000,	3.219970,	2.535843,	8.165339,	
529,	619498.330000,	2537293.990000,	4.095724,	2.213751,	9.066913,	
532,	618987.270000,	2757793.610000,	4.455332,	2.187049,	9.744027,	
535,	652084.730000,	3307800.430000,	5.072654,	2.278224,	11.556644,	
538,	644426.420000,	3148628.010000,	4.885939,	2.226429,	10.878194,	
541,	644975.430000,	3390668.050000,	5.257050,	2.203681,	11.584859,	
544,	651920.280000,	3560509.480000,	5.461572,	2.202910,	12.031350,	
547,	677222.810000,	3773985.820000,	5.572739,	2.263377,	12.613210,	
550,	676954.630000,	3853999.600000,	5.693143,	2.237867,	12.740495,	
553,	677356.900000,	4860099.640000,	7.175094,	2.214967,	15.892598,	
