70,3.775495,3.919786,4.306836,
140,3.450565,3.642031,4.057565,
210,3.417329,3.573192,3.961392,
280,3.486509,3.551031,14.232095,
350,3.436517,3.561129,18.530705,
420,9.371500,3.522786,21.047036,
490,11.714362,3.537187,23.916388,
560,11.689058,3.490168,24.228851,
630,12.474586,3.525852,25.359952,
700,12.950053,3.521483,25.955380,
770,13.802122,3.898530,27.462674,
840,14.575335,4.651264,27.693178,
910,17.438565,7.559809,29.112489,
980,16.917001,10.601120,29.754864,
1050,18.800300,12.285507,30.969728,
1120,17.012758,13.327213,31.694500,
1190,18.883533,13.719321,31.852540,
1260,17.742043,13.886825,30.997367,
1330,19.080882,13.912963,32.602842,
1400,19.425633,13.936270,32.931523,
1470,19.328300,13.953590,33.297641,
1540,18.425182,13.955813,32.692602,
1610,19.606916,13.943721,33.963740,
1680,20.895813,13.929552,35.071814,
1750,19.840915,13.903662,34.518736,
1820,19.122329,13.895594,33.892032,
1890,20.124928,13.841747,35.196856,
1960,21.033299,13.797254,35.710938,
2030,20.448963,13.792567,35.887181,
2100,19.760233,13.809509,35.678505,

