15,44.893617,25.638298,26.312057,
30,18.182624,12.659574,11.569149,
45,12.151300,12.931442,10.516154,
60,10.460993,7.601950,8.335550,
75,9.670922,10.038298,7.365957,
90,8.560875,7.253743,6.879433,
105,6.886670,7.911420,6.474164,
120,7.604721,5.694260,6.040559,
135,7.176692,6.968304,5.964451,
150,6.566312,5.864894,5.798582,
165,5.600199,6.994901,5.683137,
180,6.854807,5.301418,5.595449,
195,5.610181,6.141886,5.550590,
210,6.167499,5.317340,5.380663,
225,5.014184,5.845705,5.454689,
240,7.365498,5.104444,5.417775,
255,5.507252,5.535596,5.365776,
270,6.056716,4.961256,5.201165,
285,5.142433,5.435551,5.064537,
300,6.311436,4.656826,5.140780,
315,5.310063,5.287146,5.212042,
330,5.815456,4.793462,5.200897,
345,5.046857,5.217794,5.344220,
360,5.919954,4.695503,5.479524,
375,7.613560,6.812879,6.066837,
390,11.106582,8.592524,6.990222,
405,13.042300,10.242876,7.785950,
420,13.988095,10.343800,7.942674,
435,14.428871,11.135637,7.869768,
450,15.322853,11.542514,7.858274,
465,15.988554,12.258434,7.972303,
480,16.739493,11.605129,8.109867,
495,17.534110,13.707839,8.105751,
510,17.454815,15.002669,8.135936,
525,18.329049,14.261196,8.159415,
540,18.508121,13.789182,8.283808,
555,18.552005,14.604334,8.223790,
570,18.768418,14.713169,8.270638,
585,18.227626,15.026229,8.260546,
600,19.071144,14.701529,8.508621,
615,18.975365,16.412406,8.465157,
630,18.846050,16.237556,8.423755,
645,19.309805,17.702611,8.601928,
660,20.497388,16.683573,9.035941,
675,19.729008,19.387427,8.904492,
690,19.687571,18.374224,9.305678,
705,19.974941,20.261744,9.425561,
720,20.906041,17.575493,10.351824,
735,19.991951,21.635947,9.901770,
750,20.183319,19.550865,10.291262,
765,20.514887,22.646663,10.717918,
780,21.552730,18.785002,11.167275,
795,20.428953,23.870361,11.443599,
810,20.588390,20.564968,11.730365,
825,20.935021,24.579626,11.923568,
840,23.158776,19.437339,12.801577,
855,20.742553,25.764600,12.400673,
870,20.975631,20.899691,12.684958,
885,21.296094,25.567203,12.829932,
900,23.022084,20.323936,13.250118,
915,21.004382,26.555747,13.312768,
930,21.310000,21.211504,13.274948,
945,21.637817,26.231039,13.451965,
960,22.876695,20.649180,14.177558,
975,21.170893,26.910185,13.595098,
990,21.650947,21.282490,13.959925,
1005,21.852069,26.675325,14.119021,
1020,24.040927,20.483954,14.334232,
1035,21.385169,27.224628,14.321698,
1050,22.029273,21.430960,14.432472,
1065,22.146618,27.099149,14.482689,
1080,25.926206,21.069159,15.224285,
1095,21.649605,27.720049,14.730120,
1110,22.488033,21.604500,15.042027,
1125,22.260936,27.439578,15.169444,
1140,25.126827,20.994700,15.410079,
1155,21.879666,28.015279,15.519086,
1170,22.921761,21.744700,15.667755,
1185,22.547072,27.645784,15.773869,
1200,25.800277,21.889079,16.410588,
1215,22.145755,28.406866,15.979423,
1230,23.492570,22.040769,16.300734,
1245,22.856944,27.899941,16.375232,
1260,26.107950,21.831096,16.580738,
1275,22.415225,28.424727,16.925382,
1290,23.799361,22.331186,16.650969,
1305,23.064211,28.000734,16.802715,
1320,28.039855,22.765889,17.486391,
1335,22.741299,28.883088,17.121159,
1350,24.285400,22.751567,17.252220,
1365,23.463598,28.394993,17.584220,
1380,27.173167,22.600413,17.573314,
1395,23.124618,29.216127,17.665843,
1410,24.714213,23.023050,17.625169,
